cuisines,establishment_types,currency,featured_image,average_cost_for_two,deeplink,thumb,is_delivering_now,menu_url,photos_url,user_rating,offers,location,has_table_booking,events_url,price_range,name,has_online_delivery,url
American  Diner,,$,https://b.zmtcdn.com/data/pictures/2/16830282/d50e52d4af227d9c95d1f95006e95d85_featured_v2.jpg,10,zomato://restaurant/16830282,https://b.zmtcdn.com/data/pictures/2/16830282/d50e52d4af227d9c95d1f95006e95d85_featured_v2.jpg,0,https://www.zomato.com/los-angeles/nickel-diner-los-angeles/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/nickel-diner-los-angeles/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.1,,524 S Main St  Los Angeles  CA 90013,0,https://www.zomato.com/los-angeles/nickel-diner-los-angeles/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,1,Nickel Diner,0,https://www.zomato.com/los-angeles/nickel-diner-los-angeles?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
American  Burger  Fast Food,,$,https://b.zmtcdn.com/data/pictures/8/16831008/7e0ff7a6f2d66403a22b9065b64b99b3_featured_v2.jpg,10,zomato://restaurant/16831008,https://b.zmtcdn.com/data/pictures/8/16831008/7e0ff7a6f2d66403a22b9065b64b99b3_featured_v2.jpg,0,https://www.zomato.com/los-angeles/in-n-out-burger-10-los-angeles/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/in-n-out-burger-10-los-angeles/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.6,,9149 S Sepulveda Blvd  Los Angeles  CA 90045,0,https://www.zomato.com/los-angeles/in-n-out-burger-10-los-angeles/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,1,In-N-Out Burger,0,https://www.zomato.com/los-angeles/in-n-out-burger-10-los-angeles?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
Asian  California,,$,https://b.zmtcdn.com/data/pictures/4/16825054/103ebc655f98f02c959be41ea9abb8c8_featured_v2.jpg,70,zomato://restaurant/16825054,https://b.zmtcdn.com/data/pictures/4/16825054/103ebc655f98f02c959be41ea9abb8c8_featured_v2.jpg,0,https://www.zomato.com/los-angeles/yamashiro-hollywood-los-angeles/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/yamashiro-hollywood-los-angeles/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.0,,1999 N Sycamore Ave  Los Angeles  CA 90068,0,https://www.zomato.com/los-angeles/yamashiro-hollywood-los-angeles/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,4,Yamashiro Hollywood,0,https://www.zomato.com/los-angeles/yamashiro-hollywood-los-angeles?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
Coffee and Tea  Tea,,$,https://b.zmtcdn.com/data/pictures/3/16824393/cdaea7c5cc01d676aec80a962cda52ba_featured_v2.jpg,25,zomato://restaurant/16824393,https://b.zmtcdn.com/data/pictures/3/16824393/cdaea7c5cc01d676aec80a962cda52ba_featured_v2.jpg,0,https://www.zomato.com/los-angeles/urth-caffé-beverly-hills/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/urth-caffé-beverly-hills/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.3,,267 S Beverly Dr  Beverly Hills  CA 90212,0,https://www.zomato.com/los-angeles/urth-caffé-beverly-hills/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,2,Urth Caffé,0,https://www.zomato.com/los-angeles/urth-caffé-beverly-hills?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
Italian  California,,$,https://b.zmtcdn.com/data/pictures/4/16810374/33caac62dc25088687305fa2dde997c0_featured_v2.jpg,40,zomato://restaurant/16810374,https://b.zmtcdn.com/data/pictures/4/16810374/33caac62dc25088687305fa2dde997c0_featured_v2.jpg,0,https://www.zomato.com/los-angeles/cliffs-edge-los-angeles/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/cliffs-edge-los-angeles/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.2,,3626 W Sunset Blvd  Los Angeles  CA 90026,0,https://www.zomato.com/los-angeles/cliffs-edge-los-angeles/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,3,Cliff's Edge,0,https://www.zomato.com/los-angeles/cliffs-edge-los-angeles?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
Burger,,$,https://b.zmtcdn.com/data/pictures/7/16832847/55fabf049b12b41ae54c45c0b3b13585_featured_v2.jpg,25,zomato://restaurant/16832847,https://b.zmtcdn.com/data/pictures/7/16832847/55fabf049b12b41ae54c45c0b3b13585_featured_v2.jpg,0,https://www.zomato.com/los-angeles/stout-los-angeles/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/stout-los-angeles/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.0,,1544 N Cahuenga Blvd  Los Angeles  CA 90028,0,https://www.zomato.com/los-angeles/stout-los-angeles/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,2,Stout,0,https://www.zomato.com/los-angeles/stout-los-angeles?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
American  Seafood  California,,$,https://b.zmtcdn.com/data/pictures/2/16813342/f62824bfe4daee91402e238cc7337ed9_featured_v2.jpg,40,zomato://restaurant/16813342,https://b.zmtcdn.com/data/pictures/2/16813342/f62824bfe4daee91402e238cc7337ed9_featured_v2.jpg,0,https://www.zomato.com/los-angeles/gulfstream-century-city/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/gulfstream-century-city/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.8,,10250 Santa Monica Boulevard  Los Angeles  CA 90067,0,https://www.zomato.com/los-angeles/gulfstream-century-city/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,3,Gulfstream,0,https://www.zomato.com/los-angeles/gulfstream-century-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
Breakfast  Diner,,$,https://b.zmtcdn.com/data/pictures/3/16837203/87abd4306bb82707562e1ff42353e9c2_featured_v2.jpg,0,zomato://restaurant/16837203,https://b.zmtcdn.com/data/pictures/3/16837203/87abd4306bb82707562e1ff42353e9c2_featured_v2.jpg,0,https://www.zomato.com/los-angeles/eggslut-los-angeles/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/eggslut-los-angeles/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.1,,317 Broadway  Los Angeles  CA 90013,0,https://www.zomato.com/los-angeles/eggslut-los-angeles/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,1,Eggslut,0,https://www.zomato.com/los-angeles/eggslut-los-angeles?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
Asian  Vietnamese,,$,https://b.zmtcdn.com/data/pictures/9/16810509/ded50d79d92be4a76e0120adca0f94ba_featured_v2.jpg,40,zomato://restaurant/16810509,https://b.zmtcdn.com/data/pictures/9/16810509/ded50d79d92be4a76e0120adca0f94ba_featured_v2.jpg,0,https://www.zomato.com/los-angeles/crustacean-euro-asian-cuisine-beverly-hills/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/crustacean-euro-asian-cuisine-beverly-hills/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.2,,9646 Little Santa Monica Blvd  Beverly Hills  CA 90210,0,https://www.zomato.com/los-angeles/crustacean-euro-asian-cuisine-beverly-hills/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,3,Crustacean Euro Asian Cuisine,0,https://www.zomato.com/los-angeles/crustacean-euro-asian-cuisine-beverly-hills?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
American  Pizza  Sandwich,,$,https://b.zmtcdn.com/data/pictures/5/16819835/30b5ecaae19347e8b01de1dd5d244d74_featured_v2.jpg,40,zomato://restaurant/16819835,https://b.zmtcdn.com/data/pictures/5/16819835/30b5ecaae19347e8b01de1dd5d244d74_featured_v2.jpg,0,https://www.zomato.com/los-angeles/pig-n-whistle-los-angeles/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/pig-n-whistle-los-angeles/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,3.5,,6714 Hollywood Blvd  Los Angeles  CA 90028,0,https://www.zomato.com/los-angeles/pig-n-whistle-los-angeles/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,3,Pig 'n Whistle,0,https://www.zomato.com/los-angeles/pig-n-whistle-los-angeles?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
American,,$,https://b.zmtcdn.com/data/pictures/5/16813775/949ecb8a0c07f7bdbc2ee782d32ab838_featured_v2.jpg,25,zomato://restaurant/16813775,https://b.zmtcdn.com/data/pictures/5/16813775/949ecb8a0c07f7bdbc2ee782d32ab838_featured_v2.jpg,0,https://www.zomato.com/los-angeles/home-restaurant-los-feliz/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/home-restaurant-los-feliz/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.1,,1760 Hillhurst Avenue  CA 90027,0,https://www.zomato.com/los-angeles/home-restaurant-los-feliz/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,2,Home Restaurant,0,https://www.zomato.com/los-angeles/home-restaurant-los-feliz?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
Hawaiian  Tapas,,$,https://b.zmtcdn.com/data/pictures/0/16833760/3216dc23cbdbde950c1f8649cd265f25_featured_v2.jpg,25,zomato://restaurant/16833760,https://b.zmtcdn.com/data/pictures/0/16833760/3216dc23cbdbde950c1f8649cd265f25_featured_v2.jpg,0,https://www.zomato.com/los-angeles/a-frame-culver-city/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/a-frame-culver-city/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,4.3,,12565 W Washington Blvd  Culver City  CA 90066,0,https://www.zomato.com/los-angeles/a-frame-culver-city/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,2,A-Frame,0,https://www.zomato.com/los-angeles/a-frame-culver-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
American  French,,$,,70,zomato://restaurant/16834618,,0,https://www.zomato.com/los-angeles/perch-los-angeles/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/perch-los-angeles/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,3.7,,448 S Hill St  Los Angeles  CA 90013,0,https://www.zomato.com/los-angeles/perch-los-angeles/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,4,Perch,0,https://www.zomato.com/los-angeles/perch-los-angeles?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
American  Italian  Mexican,,$,https://b.zmtcdn.com/data/pictures/2/16807852/3251c38287e5f57964ceb365cf565aa5_featured_v2.jpg,10,zomato://restaurant/16807852,https://b.zmtcdn.com/data/pictures/2/16807852/3251c38287e5f57964ceb365cf565aa5_featured_v2.jpg,0,https://www.zomato.com/los-angeles/barneys-beanery-west-hollywood/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/los-angeles/barneys-beanery-west-hollywood/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,3.6,,8447 Santa Monica Blvd  West Hollywood  CA 90069,0,https://www.zomato.com/los-angeles/barneys-beanery-west-hollywood/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,1,Barney's Beanery,0,https://www.zomato.com/los-angeles/barneys-beanery-west-hollywood?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
