theater_name,theater_addr,movie_name,showtimes,img_src
Pacific Theatres at the Grove,"189 The Grove Drive	 Los Angeles	 CA 90036",Rules Don't Apply,"11:05am	1:25pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/193097/rulesdontapply_27x40_1sheet.jpg
Pacific Theatres at the Grove,"189 The Grove Drive	 Los Angeles	 CA 90036",Fantastic Beasts and Where to Find Them,"11:05am	2:15pm	3:15pm	4:25pm	5:35pm	8:00pm	8:40pm	10:15pm	11:00pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/175212/fantasticbeasts-posterart.jpg
Pacific Theatres at the Grove,"189 The Grove Drive	 Los Angeles	 CA 90036",Nocturnal Animals,"11:40am	2:20pm	5:00pm	7:40pm	10:20pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/195604/nafinal_onesheet.jpg
Pacific Theatres at the Grove,"189 The Grove Drive	 Los Angeles	 CA 90036",The Edge of Seventeen,"10:30am	12:55pm	3:20pm	5:45pm	7:10pm	9:20pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/194273/theedgeofseventeen-posterar.jpg
Pacific Theatres at the Grove,"189 The Grove Drive	 Los Angeles	 CA 90036",Arrival,"11:30am	1:50pm	4:20pm	5:15pm	7:45pm	9:30pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/194802/arrival_rated_payoff_1-sht_.jpg
Pacific Theatres at the Grove,"189 The Grove Drive	 Los Angeles	 CA 90036",Doctor Strange,"11:50am	2:35pm	5:35pm	8:15pm	10:55pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/186645/doctorstrange-newposterart.jpg
Pacific Theatres at the Grove,"189 The Grove Drive	 Los Angeles	 CA 90036",Trolls,"10:40am	1:00pm	3:15pm	4:25pm	7:10pm	9:30pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/159278/trolls_poster.jpg
Pacific Theatres at the Grove,"189 The Grove Drive	 Los Angeles	 CA 90036",Moonlight (2016),"11:25am	2:05pm	4:40pm	7:00pm	9:35pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/194816/moonlight-web_72dpi.jpg
Arena Cinelounge,"1625 North Las Palmas Ave.	 Los Angeles 	 CA 90028",Run the Tide,10:40pm,http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/197713/runthetide_poster.jpg
Arena Cinelounge,"1625 North Las Palmas Ave.	 Los Angeles 	 CA 90028",SiREN,6:00pm,http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/197518/siren_chiller_films_1620x24.jpg
Arena Cinelounge,"1625 North Las Palmas Ave.	 Los Angeles 	 CA 90028",Fools,9:10pm,http://images.fandango.com/r102.4/redesign/static/img/default_poster.png
Arena Cinelounge,"1625 North Las Palmas Ave.	 Los Angeles 	 CA 90028",Pocket Listing,7:35pm,http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/198106/pocketlisting.jpg
